"","contrast","estimate","SE","df","t.ratio","p.value"
"1","STDR - STBR",-0.0720315418352929,0.0640318785233312,979,-1.12493251012536,0.982150926069493
"2","STDR - STTO",0.249211126763378,0.116526918367994,979,2.13865714680933,0.500426241626695
"3","STDR - STDI",-0.0905172666577863,0.0630107246910899,979,-1.43653746408325,0.91555303504338
"4","STDR - STPO",-0.19458840163881,0.0689580390647771,979,-2.82183780568382,0.130488373831017
"5","STDR - STIN",-0.394687645594695,0.0511224126166473,979,-7.72044247117889,9.47797396122496e-13
"6","STDR - STGL",-0.132909695833547,0.0718935458946632,979,-1.84870135670152,0.703687391379329
"7","STDR - CAAN",-0.202413702329739,0.0561265013389816,979,-3.60638374922466,0.0120446386465727
"8","STDR - CACO",-0.204181719264482,0.0601096879975091,979,-3.39681881684269,0.0246253301766671
"9","STDR - CAIN",-0.268640799878372,0.0578553980758555,979,-4.64331434598636,0.000167731969580531
"10","STBR - STTO",0.321242668598671,0.115610468548657,979,2.77866418700198,0.145147910525737
"11","STBR - STDI",-0.0184857248224934,0.060967321685302,979,-0.303207100320267,0.999999629067391
"12","STBR - STPO",-0.122556859803517,0.0676469563934338,979,-1.81171284470994,0.727809781036929
"13","STBR - STIN",-0.322656103759402,0.0494215834903026,979,-6.5286476266531,4.78078698851192e-09
"14","STBR - STGL",-0.0608781539982538,0.0713831402610187,979,-0.852836591044433,0.997668592212503
"15","STBR - CAAN",-0.130382160494446,0.0543440249232022,979,-2.39919955650505,0.327296357997934
"16","STBR - CACO",-0.132150177429189,0.058669655375518,979,-2.25244509420339,0.4214835369482
"17","STBR - CAIN",-0.196609258043079,0.0558712422530323,979,-3.51897058512975,0.0163380042416967
"18","STTO - STDI",-0.339728393421165,0.114481608423656,979,-2.96753686551949,0.089292495337408
"19","STTO - STPO",-0.443799528402188,0.118339150065926,979,-3.75023420529005,0.00714915285474149
"20","STTO - STIN",-0.643898772358074,0.109069526556823,979,-5.90356255028408,2.19447765514857e-07
"21","STTO - STGL",-0.382120822596925,0.120898136867031,979,-3.16068413045271,0.0515671473315935
"22","STTO - CAAN",-0.451624829093118,0.111327467793721,979,-4.05672416738997,0.00217310320068498
"23","STTO - CACO",-0.45339284602786,0.113557836297038,979,-3.99261610481818,0.00281215410347813
"24","STTO - CAIN",-0.51785192664175,0.112023807474366,979,-4.62269528519861,0.000184638359356226
"25","STDI - STPO",-0.104071134981024,0.0660798600264176,979,-1.57492971291734,0.860127241133304
"26","STDI - STIN",-0.304170378936909,0.0472480473487115,979,-6.43773438279886,8.5193710974707e-09
"27","STDI - STGL",-0.0423924291757604,0.0712864842932412,979,-0.594676951683809,0.999873970229589
"28","STDI - CAAN",-0.111896435671953,0.0517630630373924,979,-2.16170429464581,0.484162421243911
"29","STDI - CACO",-0.113664452606696,0.0567311287167293,979,-2.0035640957233,0.596706081569595
"30","STDI - CAIN",-0.178123533220585,0.0530289502208689,979,-3.35898660031341,0.0278559363340999
"31","STPO - STIN",-0.200099243955885,0.0556657494822843,979,-3.59465642368773,0.0125542483233552
"32","STPO - STGL",0.0616787058052632,0.0758595863635982,979,0.813064093305684,0.998393491275572
"33","STPO - CAAN",-0.00782530069092929,0.0600851952583043,979,-0.130236752286293,0.999999999802439
"34","STPO - CACO",-0.009593317625672,0.0640118135519834,979,-0.149867924268094,0.999999999304475
"35","STPO - CAIN",-0.0740523982395617,0.0614833559648013,979,-1.20442999698904,0.971688736677912
"36","STIN - STGL",0.261777949761149,0.0600779706297067,979,4.35730346776573,0.000611592931332838
"37","STIN - CAAN",0.192273943264956,0.0382953187397638,979,5.02082107140968,2.6852089877849e-05
"38","STIN - CACO",0.190505926330213,0.0442112810848806,979,4.30898905563183,0.000754694169016856
"39","STIN - CAIN",0.126046845716324,0.0404851038398913,979,3.11341292873567,0.0592632748745879
"40","STGL - CAAN",-0.0695040064961925,0.0647140762977331,979,-1.07401682095287,0.987080796520642
"41","STGL - CACO",-0.0712720234309352,0.0679350823174683,979,-1.04911955648884,0.98906377326233
"42","STGL - CAIN",-0.135731104044825,0.0663855096832252,979,-2.04458931915262,0.567464987423098
"43","CAAN - CACO",-0.00176801693474271,0.0495802371007984,979,-0.0356597111697605,1
"44","CAAN - CAIN",-0.0662270975486324,0.0459442400943022,979,-1.44146681744434,0.913875622152792
"45","CACO - CAIN",-0.0644590806138897,0.0512866550869501,979,-1.25683924023915,0.96262403383559
