"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",0.00187140069035073,0.0123363261429848,640,-0.02235316611667,0.0260959674973714
"2","CACO",0.00407695926876083,0.0116128148739629,640,-0.0187268646956253,0.0268807832331469
"3","CAIN",0.000877787844156265,0.00955187008061348,640,-0.0178790050792691,0.0196345807675816
"4","STBR",-0.0222375829383919,0.00812848700260232,640,-0.0381993104537198,-0.0062758554230639
"5","STDI",-0.0969258353683962,0.00781727608158421,640,-0.112276444982017,-0.0815752257547755
"6","STDR",-0.0072721234533168,0.00838737899607867,640,-0.0237422313664293,0.00919798445979571
"7","STGL",0.00061259667108855,0.0108263428685743,640,-0.0206468498655638,0.0218720432077409
"8","STIN",-0.0186275856592044,0.00687334294764579,640,-0.0321246149605491,-0.00513055635785968
"9","STPO",-0.0316080264469496,0.00924413402564784,640,-0.0497605249851553,-0.0134555279087439
"10","STTO",0.0398087249993887,0.0205176134688627,640,-0.000481252132882193,0.0800987021316596
